patient,compartment,gene,count_sum,positive_cells,cell_count,total_umi
p007,Epithelial,ACTA2,12,12,1011,5953867.0
p007,Epithelial,ACVR1B,217,165,1011,5953867.0
p007,Epithelial,ANG,0,0,1011,5953867.0
p007,Epithelial,ANGPT1,1,1,1011,5953867.0
p007,Epithelial,ANGPTL4,9,9,1011,5953867.0
p007,Epithelial,AREG,2552,400,1011,5953867.0
p007,Epithelial,AXL,54,42,1011,5953867.0
p007,Epithelial,BMP2,92,70,1011,5953867.0
p007,Epithelial,BMP6,1,1,1011,5953867.0
p007,Epithelial,C3,5,5,1011,5953867.0
p007,Epithelial,CCL1,0,0,1011,5953867.0
p007,Epithelial,CCL13,0,0,1011,5953867.0
p007,Epithelial,CCL16,0,0,1011,5953867.0
p007,Epithelial,CCL2,1,1,1011,5953867.0
p007,Epithelial,CCL20,1430,218,1011,5953867.0
p007,Epithelial,CCL24,3,3,1011,5953867.0
p007,Epithelial,CCL26,4,4,1011,5953867.0
p007,Epithelial,CCL3,12,11,1011,5953867.0
p007,Epithelial,CCL4,19,12,1011,5953867.0
p007,Epithelial,CCL5,165,20,1011,5953867.0
p007,Epithelial,CCL7,0,0,1011,5953867.0
p007,Epithelial,CCL8,0,0,1011,5953867.0
p007,Epithelial,CD55,1011,409,1011,5953867.0
p007,Epithelial,CD9,6097,693,1011,5953867.0
p007,Epithelial,CDKN1A,810,337,1011,5953867.0
p007,Epithelial,CDKN2A,731,271,1011,5953867.0
p007,Epithelial,CDKN2B,335,210,1011,5953867.0
p007,Epithelial,COL1A1,55,50,1011,5953867.0
p007,Epithelial,COL1A2,4,3,1011,5953867.0
p007,Epithelial,COL3A1,4,4,1011,5953867.0
p007,Epithelial,CSF1,16,15,1011,5953867.0
p007,Epithelial,CSF2,2,2,1011,5953867.0
p007,Epithelial,CSF2RB,1,1,1011,5953867.0
p007,Epithelial,CST4,0,0,1011,5953867.0
p007,Epithelial,CTNNB1,100,91,1011,5953867.0
p007,Epithelial,CTSB,121,107,1011,5953867.0
p007,Epithelial,CXCL1,568,156,1011,5953867.0
p007,Epithelial,CXCL10,9,5,1011,5953867.0
p007,Epithelial,CXCL12,0,0,1011,5953867.0
p007,Epithelial,CXCL16,299,186,1011,5953867.0
p007,Epithelial,CXCL2,403,154,1011,5953867.0
p007,Epithelial,CXCL3,753,214,1011,5953867.0
p007,Epithelial,CXCL8,970,129,1011,5953867.0
p007,Epithelial,CXCR2,2,1,1011,5953867.0
p007,Epithelial,DKK1,3,3,1011,5953867.0
p007,Epithelial,EDN1,678,210,1011,5953867.0
p007,Epithelial,EGF,0,0,1011,5953867.0
p007,Epithelial,EGFR,374,258,1011,5953867.0
p007,Epithelial,EREG,373,125,1011,5953867.0
p007,Epithelial,ESM1,0,0,1011,5953867.0
p007,Epithelial,ETS2,2255,685,1011,5953867.0
p007,Epithelial,FAP,0,0,1011,5953867.0
p007,Epithelial,FAS,87,73,1011,5953867.0
p007,Epithelial,FGF1,1,1,1011,5953867.0
p007,Epithelial,FGF2,48,41,1011,5953867.0
p007,Epithelial,FGF7,1,1,1011,5953867.0
p007,Epithelial,FN1,12,10,1011,5953867.0
p007,Epithelial,GDF15,826,269,1011,5953867.0
p007,Epithelial,GEM,74,61,1011,5953867.0
p007,Epithelial,GMFG,41,21,1011,5953867.0
p007,Epithelial,HGF,0,0,1011,5953867.0
p007,Epithelial,HMGB1,6976,818,1011,5953867.0
p007,Epithelial,ICAM1,128,81,1011,5953867.0
p007,Epithelial,ICAM3,107,98,1011,5953867.0
p007,Epithelial,IGF1,0,0,1011,5953867.0
p007,Epithelial,IGFBP1,295,46,1011,5953867.0
p007,Epithelial,IGFBP2,1087,310,1011,5953867.0
p007,Epithelial,IGFBP3,6,6,1011,5953867.0
p007,Epithelial,IGFBP4,623,338,1011,5953867.0
p007,Epithelial,IGFBP5,22,12,1011,5953867.0
p007,Epithelial,IGFBP6,198,50,1011,5953867.0
p007,Epithelial,IGFBP7,37,17,1011,5953867.0
p007,Epithelial,IL10,0,0,1011,5953867.0
p007,Epithelial,IL13,4,4,1011,5953867.0
p007,Epithelial,IL15,63,52,1011,5953867.0
p007,Epithelial,IL18,290,188,1011,5953867.0
p007,Epithelial,IL1A,11,8,1011,5953867.0
p007,Epithelial,IL1B,172,74,1011,5953867.0
p007,Epithelial,IL2,0,0,1011,5953867.0
